,b'snapshot-date,sku,fnsku,asin,product-name,condition,sales-rank,product-group,total-quantity,sellable-quantity,unsellable-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-365-plus-days,units-shipped-last-24-hrs,units-shipped-last-7-days,units-shipped-last-30-days,units-shipped-last-90-days,units-shipped-last-180-days,units-shipped-last-365-days,weeks-of-cover-t7,weeks-of-cover-t30,weeks-of-cover-t90,weeks-of-cover-t180,weeks-of-cover-t365,num-afn-new-sellers,num-afn-used-sellers,currency,your-price,sales-price,lowest-afn-new-price,lowest-afn-used-price,lowest-mfn-new-price,lowest-mfn-used-price,qty-to-be-charged-ltsf-12-mo,qty-in-long-term-storage-program,qty-with-removals-in-progress,projected-ltsf-12-mo,per-unit-volume,is-hazmat,in-bound-quantity,asin-limit,inbound-recommend-quantity,qty-to-be-charged-ltsf-6-mo,projected-ltsf-6-mo
196,2020-09-05T03:00:00+04:00,IMYPD00916DQ/LMXS AMZ,B071Z3TJGJ,B071Z3TJGJ,Izas Chaqueta de Fibra Ultraligera Sindu,New,19543,gl_sports,1,1,0,1,0,0,0,0,0,0,0,0,1,3,Infinite,Infinite,Infinite,26.0,17.3333333333333,2,0,EUR,65.99,65.99,43.86,0.00,65.99,0.00,0,0,,0.00,11200.024591,N,0,0,0,0,0.00
197,2020-09-05T03:00:00+04:00,IMYPD00916BM/ORS AMZ,B071Z3SN67,B071Z3SN67,Izas Chaqueta de Fibra Ultraligera Sindu,New,19543,gl_sports,3,3,0,3,0,0,0,0,0,0,0,1,2,3,Infinite,Infinite,39.0,39.0,52.0,1,0,EUR,65.99,65.99,65.99,0.00,65.99,0.00,0,0,,0.00,10098.022202,N,0,0,0,0,0.00
198,2020-09-05T03:00:00+04:00,IMLPF00348RD/BK4XL AMZ,B071Z3RRSD,B071Z3RRSD,Izas Chaqueta de Forro Polar Padru,New,10438,gl_sports,2,2,0,2,0,0,0,0,0,0,0,0,1,4,Infinite,Infinite,Infinite,52.0,26.0,1,0,EUR,16.99,16.99,16.99,0.00,18.99,0.00,0,0,,0.00,6129.497776,N,0,0,0,0,0.00
199,2020-09-05T03:00:00+04:00,IWLPF00558TQ4XL AMZ,B071Z3JK85,B071Z3JK85,Izas Forro Polar Ferni,New,15081,gl_sports,2,2,0,2,0,0,0,0,0,0,0,0,0,1,Infinite,Infinite,Infinite,Infinite,104.0,1,0,EUR,15.99,15.99,15.99,0.00,15.99,0.00,0,0,,0.00,32768.071864,N,0,0,0,0,0.00
200,2020-09-05T03:00:00+04:00,IWSTS01032BKM AMZ,B071YZQHW1,B071YZQHW1,Camiseta de Manga Corta Adaia II,New,104195,gl_sports,4,4,0,4,0,0,0,0,0,0,0,1,1,1,Infinite,Infinite,52.0,104.0,208.0,2,0,EUR,10.99,10.99,10.99,0.00,10.99,0.00,0,0,,0.00,744.001641,N,0,0,0,0,0.00
201,2020-09-05T03:00:00+04:00,IWSTS01032BKXXL AMZ,B071YZQFVW,B071YZQFVW,Camiseta de Manga Corta Adaia II,New,104195,gl_sports,2,2,0,2,0,0,0,0,0,0,0,0,0,0,Infinite,Infinite,Infinite,Infinite,Infinite,1,0,EUR,10.99,10.99,10.99,0.00,10.99,0.00,0,0,,0.00,425.00093,N,0,0,0,0,0.00
202,2020-09-05T03:00:00+04:00,IMTTH00424BKXXS AMZ,B071VNSDQ8,B071VNSDQ8,"Izas Camiseta t\xc3\xa9rmica Nelion del Hombre, Hombre, Color Negro, tama\xc3\xb1o XXS",New,157909,gl_sports,4,4,0,0,0,4,0,0,0,0,0,0,0,2,Infinite,Infinite,Infinite,Infinite,104.0,1,0,EUR,13.99,13.99,13.99,0.00,13.99,0.00,0,0,,0.00,1488.003265,N,0,0,0,0,0.00
203,2020-09-05T03:00:00+04:00,IWSTS01032WHM AMZ,B071VNCPKN,B071VNCPKN,Camiseta de Manga Corta Adaia II,New,104195,gl_sports,4,4,0,4,0,0,0,0,0,0,0,0,0,0,Infinite,Infinite,Infinite,Infinite,Infinite,1,0,EUR,10.99,10.99,10.99,0.00,10.99,0.00,0,0,,0.00,1481.75021,N,0,0,0,0,0.00
204,2020-09-05T03:00:00+04:00,IMYPD00916BM/ORM AMZ,B071VNCKX4,B071VNCKX4,Izas Chaqueta de Fibra Ultraligera Sindu,New,19543,gl_sports,2,2,0,2,0,0,0,0,0,0,0,0,0,7,Infinite,Infinite,Infinite,Infinite,14.8571428571429,2,0,EUR,65.99,65.99,48.98,0.00,58.49,0.00,0,0,,0.00,9275.020368,N,0,0,0,0,0.00
205,2020-09-05T03:00:00+04:00,IWSTS01032WHS AMZ,B071VNC9JL,B071VNC9JL,Camiseta de Manga Corta Adaia II,New,104195,gl_sports,3,3,0,3,0,0,0,0,0,0,0,1,1,1,Infinite,Infinite,39.0,78.0,156.0,2,0,EUR,10.99,10.99,7.55,0.00,10.99,0.00,0,0,,0.00,1548.745804,N,0,0,0,0,0.00
